,0
0, I confidently answered all the questions Mainly the questions were asked related with MVC 4
1,What is design pattern
2,What is the difference between the user control and custom contro
3,AngularJS
4,What Directives have you use
5,what is ngmodelnot sure for this one Something about scopeSQL
6,what do you do when you find that connection is not responding for 1 minCSingleton patternMVCTempData ViewData ViewBag
7,Why you use ViewBag instead of ViewData
8,what is the differenceEntity Frameworkcode first VS database first approac
9,how to design sp using code first metho
10,AngularJS
11,What Directives have you use
12,what is ngmodelnot sure for this one Something about scopeSQL
13,what do you do when you find that connection is not responding for 1 minCSingleton patternMVCTempData ViewData ViewBag
14,Why you use ViewBag instead of ViewData
15,what is the differenceEntity Frameworkcode first VS database first approac
16,how to design sp using code first metho
17,What is a hashtable
18,What is the difference between truncate and delete
19,What is a delegate
20,What is a left outer joinCan you rollback a truncate command
21,What is public static voi
22,What is refactor
23,how it is used
24,how to capture requirements
25,How to handle performance issues
26,How to deal with a bug
27,What is tracingSome basic sql design question
28,What is load balancing an
29,how does it applies to EFSome basic programming question sorting that stuff
30,how to read a key from webconfigeager locking vs pessimistic lockingexplain concurrency
31,How to manage a sessionExplain MVCExplain scope rootscope and isolated scope
32,How to cope with change in your designMail automation requirement
33,how does routing works in MVC 
34,How do you solve multiple routes with same signature issuesexplain manual binding in angularExplain dependency injection in Angular
35,What is a service in Angula
36,How would you inject a function in angularProbably more if I remember I will add th
37,What is refactor
38,how it is used
39,how to capture requirements
40,How to handle performance issues
41,How to deal with a bug
42,What is tracingSome basic sql design question
43,What is load balancing an
44,how does it applies to EFSome basic programming question sorting that stuff
45,how to read a key from webconfigeager locking vs pessimistic lockingexplain concurrency
46,How to manage a sessionExplain MVCExplain scope rootscope and isolated scope
47,How to cope with change in your designMail automation requirement
48,how does routing works in MVC 
49,How do you solve multiple routes with same signature issuesexplain manual binding in angularExplain dependency injection in Angular
50,What is a service in Angula
51,How would you inject a function in angularProbably more if I remember I will add th
52,Q 
53,what is the differencebetween repeater and grid viewA GridView displays your data source in an HTML table and extends it to allow paging sorting editing et
54, A repeater is a template control where you specify the html that is used to render each row
55, A gridview can only s
56,how your data in a table but a repeater can s
57,how your data in any way you want by creating the relevant ItemTemplat
58, for more detailshttpwww
59,html
60,Some SamplesSQL aggregate functions return a single value calculated from values in a column
61,AvgCountFirstLastSQL scalar functions return a single value based on the input value
62,What is an inline and block elemen
63,How do you store data in the client
64,How do you execute a SQL command in Web SQL
65,How do you get the current location of the client
66,How do you make a page responsive in CSS without using a framewor
67,How would you reverse the order of an arrays element
68,Whats the port number of SQL Server14
69,Whats the difference between a local temp table and a global temp tableA local temp table is accessible for one user connected to the databas
70, A global temp table is accessible by all connected users
71,How do you declare a local temp table and a global temp tableCREATE TABLE localtemptablenam
72, Uses one CREATE TABLE globaltemptablename
73, Uses two 
74,How are transactions usedBegin the transaction Commit the transaction if you want to save the changes Rollback the transaction if you want to undo the change
75,Whats the difference between Truncate and DeleteTRUNCATEremoves all rows from a table but the table structure its columnsconstraints indexes and so on remain
76,You cannot use TRUNCATE TABLE on a tablereferenced by a FOREIGN KEY constraint
77,DELETE removes rows one at a time and records anentry in the transaction log for each deleted row
78,Whats the difference between REST and SOAPREST can use different data formats but SOAP can only use XM
79, REST has to use HTTP but SOAP can use different protocols
80, REST is faster
81,REST uses the HTTP buildin headers with a variety of mediatypes to carry meta information and use the GET POST PUT and DELETE verbs to perform CRUD operations
82, REST uses URI and methods like GET PUT POST DELETE to expose resources
83,How would you save the last time a file in a virtual directory of images was accessed in a tableSomething to do with HTTP HandlerModule
84,MVC
85,Whats a predicate
86,Why is it called MVStar or MV i dont know instead of MV
