,0
0, Write a Fibonacci series using a REST API VIEW that accepts an input from the user and displays the output assuming that there are no models but make sure it is a Class Based View not just a function
1, If I have a python 2 code 
2,what will I need to do to ensure that it will be compatible with python 3Q
3, 
4,How did you deploy your Django application on a server did you write any scripts on a single server not talking about cloud like AW
5, Are you comfortable working on LinuxQ8
6, Write a Fibonacci series using a REST API VIEW that accepts an input from the user and displays the output assuming that there are no models but make sure it is a Class Based View not just a function
7, If I have a python 2 code 
8,what will I need to do to ensure that it will be compatible with python 3Q
9, 
10,How did you deploy your Django application on a server did you write any scripts on a single server not talking about cloud like AW
11, Are you comfortable working on LinuxQ8
12,Position was a PythonDjango Fullstack DeveloperFirst interviewer
13,What are the differences between a set and a listCan you iterate over a setCan you sort a se
14,How do you sort a set
15,What does the zip function doCan you zip more than 2 lists
16,What does the copy function do
17,What is the difference between a shallow copy and a deep copy
18,What is encapsulatio
19,How do you implement encapsulation in python
20,What is a private variable and a protected variable
21,What is a constructorCan you have multiple constructor
22,How do you implement overloading in python
23,What is inheritanc
24,How do you implement inheritance in pythonDoes python support multiple inheritance
25,How does multiple inheritance work with inheritance order
26,What is the difference between a class and an objectGive me a highlevel overview of garbage collection in pyth
27,What is ORM and 
28,why is it usef
29,How do you create a foreign key in ORM
30,How does lazyloading work in Django models
31,How does pagination work in Django
32,How do you make an AJAX call in JQuery and
33,how do you tell if it succeeded or failedSecond interviewer
34,What is encapsulatio
35,How do you implement encapsulation in python
36,How do you make a variable private Protected Public
37,What is the super method
38,What are decorator
39,How do you write decoratorsWhen would you use a decoratorHave you used response codes in a REST API
40,What are serializers in regards to APIs
41,What are serializers used for
42,What is sharding in MongoDB
43,What is the difference between range and xrange in python
44,What is the use of unit testin
45,How would you design a unit test
46,What is integration testing
47,What was you Git workflow like on your last projectHave you ever used any debugging toolsLive coding example make a function that checks if two strings are anagr
48,What is the difference between a list and a tupleCan you give a use case for when you would use a list and when you would use a tupleA junior developer comes to you with the following code and asks for your feedbac
49,appendoutput_from_other_function  return l
50,What is a herea  func
51,What is b hereb  func
52,What is c herec  a is b
53,What is the output herelenaThe code is dysfunctional because l refers to the same list object in memory every time the function is called without an argumen
54, have you ever have performance issue in your project and 
55,how did you handle that
