,0
0,Client CapitalOneTheseQuestions are Wipro Interview Questions
1,How client can access Web service
2,What is OOP
3,How you implemented oops in your project
4,What is multiple inheritance in java
5,What is exceptionError
6,What is Thread multi threading lifecycle of threadDifference between process and thread
7,What is collectionDifference between Arraylist and Vector
8,What is LinklistQueueStackDifference between HashTable HashMap Concurrent HashM
9,What is MV
10,How you implemented MVC in your project
11,What is DAO pattern
12,What is Hibernate
13,What is POJOLife cycle of Beans
14,What is persistence transientdetachedDescribe the contents of configuration fi
15,Can we have separate mapping file for every module
16,What is spring
17,What is DI
18,What is AOP
19,What is Joinpoint
20,What is advice
21,What isAngular JS bindin
22,How to upload files using angular JS
23,How many controller u can have in one file
24,What is Agile and Scru
25,How do u use SVN or GIT
26,What isOracle trigger function stored procedure
27,What is innerouterLeftRightFullJoin
28,WhatProject management tools you usedJi
29,What are the fundamentals of OOPs
30,What is Inheritanc
31,How to extend Classes
32,What are the excess modifiers in JavaRole of Public Private and protected with example
33,What is PolymorphismGive an Example ofPolymorphism from your project
34,What is Aspect Oriented Programming
35,What is Spring IO
36,How you used DI in your projectSpring and Hibernate configurationDifference between Html 5 and HtmlDifference between CSS 3 and CSSUser Validation using JavaScript
37,What is the role of windo
38,alertJQuery SelectorsThe interviewer gave situation for the alignment of data using CSS
39,Why you have used Angular JS along with JavaScript in your Projec
40,What are fundamentals of OOPS ConceptDifference between List and Set Provided a Scenario of Object creation using Set and List
41,What is Spring IOC And
42,how we used Dependency Injection inour ProjectAdvantage of using Spring IOC with regard to your Project
43,What are SOAP based Web service
44,How we can publish Web services 
45,How client can access Web servic
46,What is Inheritance
47,How the concept of inheritance used in your project
48,What is NullPointerException Is it Checked Unchecked or Run time exception
49,What is the difference between list and set
50,Why we should use Map in Collection framewor
51,What is Hibernate Configuration file
52,What is Spring MVC
53,What is the architecture of Spring MVC applicatio
54,How you have implemented Spring IOCHave you worked on EJB
55,What are Restful Web Service
56,How you Publish Web Services
57,How did you used Java messaging Service in your ProjectIn Spring 
58,what is Bean Scop
59,How Data binding is performed in Angular JS
